Sem,K's,Matakuliah,Dosen Pengampu,Hari,Jam,Mode,Ruang Kuliah,Keterangan
1,DS,Big Data Analitis,Dr. Syarif Hidayat,Sabtu,08.00-09.00,Daring,online,inconfirm
1,DS,Wawasan Data,"Prof. Dr. Jaka Nugraha, S.Si., M.Si.",Sabtu,09.30-10.30,Daring,online,ok
1,DS,Pembelajaran Mesin,Dr. Chandra Kusuma Dewa,Sabtu,11.00-12.00,Daring,online,ok
1,FD,Arsitektur Sistem dan Artefak Digital,"Ahmad Luthfi, Ph.D.",Sabtu,09.30-10.30,Daring,online,ok
1,FD,Hukum Siber dan Bukti Digital,"Prof. Dr. Sefriani SH, M.Hum",Sabtu,08.00-09.00,Daring,online,ok
1,FD,Investigasi Digital,"dr. Handayani Dwi Utami, M.Sc., Sp. F",Sabtu,11.00-12.00,Daring,online,ok
1,IM,Pemikiran Klinis,"Dr. dr. Sunarto, M.Kes",Sabtu,10.00-11.00,Daring,online,inconfirm
1,IM,SPK Klinis,Dr. Sri Kusumadewi,Sabtu,07.30-08.30,Daring,online,ok
1,IM,Pencitraan Medis,"Izzati Muhimmah, Ph.D.",Jumat,13.00-15.00,Luring,ruang LS1,ok
1,SIE,Mahadata Enterprise,Dr. Dhomas Hatta Fudholi,Sabtu,07.00-08.00,Daring,online,ok
1,SIE,Tata Kelola Teknologi Informasi,"M. Andri Setiawan, Ph.D",Sabtu,11.00-12.00,Daring,online,ok
1,SIE,Transformasi Digital,Dr. R. Teduh Dirgahayu,Sabtu,09.30-10.30,Daring,online,ok
1,Umum,Metodologi Penelitian,"Irving Vitra Paputungan, S.T., M.Sc., Ph.D.",Sabtu,14.10-15.10,Daring,online,ok
2,DS,Pemodelan Kausal,"Prof. Dr. Jaka Nugraha, S.Si., M.Si.",Jumat,08.00-10.30,Daring,online,ok
2,DS,Deep Learning,Dr. Syarif Hidayat,Sabtu,10.15-12.45,Daring,online,inconfirm
2,DS,Analisis Text (Pilihan I),Dr. Dhomas Hatta Fudholi,Jumat,13.00-15.30,Daring,online,ok
2,FD,Forensika Perangkat Bergerak,"Ahmad Luthfi, Ph.D.",Minggu,13.00-15.30,Daring,online,ok
2,FD,Keamanan Informasi,"M. Andri Setiawan, Ph.D",Jumat,13.00-15.30,Daring,online,ok
2,FD,Forensika Internet (Pilihan I),Dr. Imam Riadi,Minggu,15.30-18.00,Daring,online,ok
2,IM,E-Health,"Rahadian Kurniawan, S.Kom., M.Kom.",Sabtu,10.15-12.45,Daring,online,ok
2,IM,Informatika Biomedis,Prof. Dr. drh. Wayan Tunas Artama,Sabtu,07.30-10.00,Daring,online,ok
2,IM,Statistika Medis,"Irving Vitra Paputungan, S.T., M.Sc., Ph.D.",Jumat,13.00-15.30,Daring,online,ok
2,SIE,Manajemen Sumber Daya Teknologi Informasi,"M. Andri Setiawan, Ph.D",Sabtu,08.00-10.30,Daring,online,ok
2,SIE,Pengembangan Sistem Enterprise,Dr. R. Teduh Dirgahayu,Jumat,08.00-10.30,Daring,online,ok
2,SIE,Sistem Enterprise Bergerak (Pilihan I),"Ahmad Munasir Raf'ie Pratama, Ph. D",Jumat,15.30-18.00,Daring,online,ok
2,Umum,Desain Riset,"Dr.Eng. Hendra Setiawan, S.T., M.T.",Sabtu,12.30-13.40,Daring,online,ok
3,DS,Sains Data Praktis  (Pilihan II),"Ahmad Munasir Raf'ie Pratama, Ph. D",Sabtu,08.00-10.30,Daring,online,ok
3,FD,Forensika Multimedia (Pilihan II),"Galang Prihadi Mahardhika, M.Kom",Jumat,09.00-11.30,Daring,online,ok
3,IM,Kapita Selekta Informatika Medis,"Prof. Dr. Ir. Hari Purnomo, MT",Jumat,08.00-10.30,Daring,online,inconfirm
3,SIE,Audit Sistem Informasi (Pilihan II),"Prof. Dr. Hadri Kusuma, MBA.",Sabtu,09.30-12.00,Daring,online,ok
3,Umum,Islam Ulil Albab,"Dr. Nur Kholis, SEI., M.Sh.Ec",Sabtu,13.00-15.30,Daring,online,ok
3,Umum,Publikasi Ilmiah,"Dr.Eng. Hendra Setiawan, S.T., M.T.",Jumat,16.00-17.40,tugas mandiri,online,ok
